"","RiskFactorID","RiskFactorValue","FactorValue","comment"
"4910",101,118,1.9046325442784,"DBP"
"5010",101,119,1.9046325442784,"DBP"
"5110",101,120,1.9046325442784,"DBP"
"133",20,0,0,"PastCVD"
"134",20,1,1.05082162483176,"PastCVD"
"135",20,2,0.73716406597672,"PastCVD"
"136",20,3,0.78845736036427,"PastCVD"
"137",19,0,0,"Sleep"
"138",19,1,1.06125650212434,"Sleep"
"139",19,2,1.06125650212434,"Sleep"
"140",18,0,0,"T2D"
"141",18,1,1.02245092770255,"T2D"
"142",109,100,-0.202975945421445,"LDL"
"143",109,101,-0.196210080574063,"LDL"
"144",109,102,-0.189444215726682,"LDL"
"145",109,103,-0.1826783508793,"LDL"
"146",109,104,-0.175912486031919,"LDL"
"147",109,105,-0.169146621184537,"LDL"
"148",109,106,-0.162380756337156,"LDL"
"149",109,107,-0.155614891489774,"LDL"
"150",109,108,-0.148849026642393,"LDL"
"151",109,109,-0.142083161795011,"LDL"
"152",109,110,-0.13531729694763,"LDL"
"153",109,111,-0.128551432100248,"LDL"
"154",109,112,-0.121785567252867,"LDL"
"155",109,113,-0.115019702405485,"LDL"
"156",109,114,-0.108253837558104,"LDL"
"157",109,115,-0.101487972710722,"LDL"
"158",109,116,-0.0947221078633408,"LDL"
"159",109,117,-0.0879562430159593,"LDL"
"160",109,118,-0.0811903781685778,"LDL"
"161",109,119,-0.0744245133211963,"LDL"
"162",109,120,-0.0676586484738149,"LDL"
"163",109,121,-0.0608927836264334,"LDL"
"164",109,122,-0.0541269187790519,"LDL"
"165",109,123,-0.0473610539316704,"LDL"
"166",109,124,-0.0405951890842889,"LDL"
"167",109,125,-0.0338293242369074,"LDL"
"168",109,126,-0.0270634593895259,"LDL"
"169",109,127,-0.0202975945421445,"LDL"
"170",109,128,-0.013531729694763,"LDL"
"171",109,129,-0.00676586484738149,"LDL"
"172",109,130,0,"LDL"
"173",109,131,0.00676586484738149,"LDL"
"174",109,132,0.013531729694763,"LDL"
"175",109,133,0.0202975945421445,"LDL"
"176",109,134,0.0270634593895259,"LDL"
"177",109,135,0.0338293242369074,"LDL"
"178",109,136,0.0405951890842889,"LDL"
"179",109,137,0.0473610539316704,"LDL"
"180",109,138,0.0541269187790519,"LDL"
"181",109,139,0.0608927836264334,"LDL"
"182",109,140,0.0676586484738149,"LDL"
"183",109,141,0.0744245133211963,"LDL"
"184",109,142,0.0811903781685778,"LDL"
"185",109,143,0.0879562430159593,"LDL"
"186",109,144,0.0947221078633408,"LDL"
"187",109,145,0.101487972710722,"LDL"
"188",109,146,0.108253837558104,"LDL"
"189",109,147,0.115019702405485,"LDL"
"190",109,148,0.121785567252867,"LDL"
"191",109,149,0.128551432100248,"LDL"
"192",109,150,0.13531729694763,"LDL"
"193",109,151,0.142083161795011,"LDL"
"194",109,152,0.148849026642393,"LDL"
"195",109,153,0.155614891489774,"LDL"
"196",109,154,0.162380756337156,"LDL"
"197",109,155,0.169146621184537,"LDL"
"198",109,156,0.175912486031919,"LDL"
"199",109,157,0.1826783508793,"LDL"
"200",109,158,0.189444215726682,"LDL"
"201",109,159,0.196210080574063,"LDL"
"202",109,160,0.202975945421445,"LDL"
"203",109,161,0.209741810268826,"LDL"
"204",109,162,0.216507675116208,"LDL"
"205",109,163,0.223273539963589,"LDL"
"206",109,164,0.230039404810971,"LDL"
"207",109,165,0.236805269658352,"LDL"
"208",109,166,0.243571134505734,"LDL"
"209",109,167,0.250336999353115,"LDL"
"210",109,168,0.257102864200496,"LDL"
"211",109,169,0.263868729047878,"LDL"
"212",109,170,0.270634593895259,"LDL"
"213",109,171,0.277400458742641,"LDL"
"214",109,172,0.284166323590022,"LDL"
"215",109,173,0.290932188437404,"LDL"
"216",109,174,0.297698053284785,"LDL"
"217",109,175,0.304463918132167,"LDL"
"218",109,176,0.311229782979548,"LDL"
"219",109,177,0.31799564782693,"LDL"
"220",109,178,0.324761512674311,"LDL"
"221",109,179,0.331527377521693,"LDL"
"222",109,180,0.338293242369074,"LDL"
"223",109,181,0.345059107216456,"LDL"
"224",109,182,0.351824972063837,"LDL"
"225",109,183,0.358590836911219,"LDL"
"226",109,184,0.3653567017586,"LDL"
"227",109,185,0.372122566605982,"LDL"
